a11y-profile-manager-indicator	0.1.11-0ubuntu4
multiarch-support	2.27-3ubuntu1.6
mutter	3.36.9-0ubuntu0.20.04.2
mutter-common	3.36.9-0ubuntu0.20.04.2
mysql-common	5.8+1.0.5ubuntu2
mythes-en-us	1:6.4.3-1
nano	4.8-1ubuntu1.1
nautilus	1:3.36.3-0ubuntu1.20.04.2
nautilus-data	1:3.36.3-0ubuntu1.20.04.2
nautilus-extension-gnome-terminal	3.36.2-1ubuntu1~20.04
nautilus-sendto	3.8.6-3ubuntu0.20.04.1
nautilus-share	0.7.3-2ubuntu3.1
ncurses-base	6.2-0ubuntu2.1
ncurses-bin	6.2-0ubuntu2.1
ncurses-term	6.2-0ubuntu2.1
nemo-data	4.4.2-2ubuntu2
netbase	6.1
netcat-openbsd	1.206-1ubuntu1
netpbm	2:10.0-15.3build1
netplan.io	0.104-0ubuntu2~20.04.6
net-tools	1.60+git20180626.aebd88e-1ubuntu1.3
network-manager	1.22.10-1ubuntu2.4
network-manager-config-connectivity-ubuntu	1.22.10-1ubuntu2.4
network-manager-gnome	1.8.24-1ubuntu3
network-manager-openvpn	1.8.12-1
network-manager-openvpn-gnome	1.8.12-1
network-manager-pptp	1.2.8-2
network-manager-pptp-gnome	1.2.8-2
nfs-common	1:1.3.4-2.5ubuntu3.7
notify-osd	0.9.35+20.04.20191129-0ubuntu1
notify-osd-icons	0.8+15.10.20151016.2-0ubuntu1
nplan	0.99-0ubuntu3~18.04.5
ntfs-3g	1:2017.3.23AR.3-3ubuntu1.3
ntp	1:4.2.8p12+dfsg-3ubuntu4.20.04.1
nux-tools	4.0.8+18.10.20180623-0ubuntu1
onboard-common	1.4.1-2ubuntu7
openoffice.org-hyphenation	0.10
openprinting-ppds	20200401-1
openssh-client	1:8.2p1-4ubuntu0.13
openssh-server	1:8.2p1-4ubuntu0.13
openssh-sftp-server	1:8.2p1-4ubuntu0.13
openssl	1.1.1f-1ubuntu2.24
openvpn	2.4.12-0ubuntu0.20.04.2
openvswitch-common	2.13.8-0ubuntu1.4
openvswitch-pki	2.13.8-0ubuntu1.4
openvswitch-switch	2.13.8-0ubuntu1.4
openvswitch-testcontroller	2.13.8-0ubuntu1.4
orca	3.36.2-1ubuntu1~20.04.2
osinfo-db	0.20200325-1
os-prober	1.74ubuntu2
overlay-scrollbar	0.2.17.1+16.04.20151117-0ubuntu2
overlay-scrollbar-gtk2:amd64	0.2.17.1+16.04.20151117-0ubuntu2
ovmf	0~20191122.bd85bf54-2ubuntu3.6
p11-kit	0.23.20-1ubuntu0.1
p11-kit-modules:amd64	0.23.20-1ubuntu0.1
packagekit	1.1.13-2ubuntu1.1
packagekit-tools	1.1.13-2ubuntu1.1
parted	3.3-4ubuntu0.20.04.1
passwd	1:4.8.1-1ubuntu5.20.04.5
patch	2.7.6-6
patchutils	0.3.4-2
pci.ids	0.0~2020.03.20-1
pciutils	1:3.6.4-1ubuntu0.20.04.1
pcmciautils	018-11
pep8	1.7.1-9ubuntu1
perl	5.30.0-9ubuntu0.5
perl-base	5.30.0-9ubuntu0.5
perl-modules-5.26	5.26.1-6ubuntu0.7
perl-modules-5.30	5.30.0-9ubuntu0.5
perl-openssl-defaults:amd64	4
pigz	2.4-1
pinentry-gnome3	1.1.0-3build1
pkg-config	0.29.1-0ubuntu4
plymouth	0.9.4git20200323-0ubuntu6.2
plymouth-label	0.9.4git20200323-0ubuntu6.2
plymouth-theme-spinner	0.9.4git20200323-0ubuntu6.2
plymouth-theme-ubuntu-logo	0.9.4git20200323-0ubuntu6.2
plymouth-theme-ubuntu-text	0.9.4git20200323-0ubuntu6.2
pm-utils	1.4.1-17
policykit-1	0.105-26ubuntu1.3
policykit-1-gnome	0.105-7ubuntu2
policykit-desktop-privileges	0.21
poppler-data	0.4.9-2
poppler-utils	0.86.1-0ubuntu1.7
popularity-contest	1.69ubuntu1
powermgmt-base	1.36
ppp	2.4.7-2+4.1ubuntu5.1
pppconfig	2.3.24
pppoeconf	1.21ubuntu1
pptp-linux	1.10.0-1build1
printer-driver-brlaser	6-1build1
printer-driver-c2esp	27-6
printer-driver-foo2zjs	20171202dfsg0-4ubuntu0.1
printer-driver-foo2zjs-common	20171202dfsg0-4ubuntu0.1
printer-driver-gutenprint	5.3.3-4
printer-driver-hpcups	3.20.3+dfsg0-2ubuntu0.1
printer-driver-m2300w	0.51-14
printer-driver-min12xxw	0.0.9-11
printer-driver-pnm2ppa	1.13+nondbs-0ubuntu6
printer-driver-postscript-hp	3.20.3+dfsg0-2ubuntu0.1
printer-driver-ptouch	1.4.2-3
printer-driver-pxljr	1.4+repack0-5
printer-driver-sag-gdi	0.1-7
printer-driver-splix	2.0.0+svn315-7fakesync1ubuntu0.1
procps	2:3.3.16-1ubuntu2.4
psmisc	23.3-1
publicsuffix	20200303.0012-1
pulseaudio	1:13.99.1-1ubuntu3.13
pulseaudio-module-bluetooth	1:13.99.1-1ubuntu3.13
pulseaudio-utils	1:13.99.1-1ubuntu3.13
pycodestyle	2.5.0-2
pyflakes	2.1.1-2ubuntu1
pyflakes3	2.1.1-2ubuntu1
pylint	2.4.4-2
python2	2.7.17-2ubuntu4
python	2.7.15~rc1-1
python2.7	2.7.18-1~20.04.7
python2.7-minimal	2.7.18-1~20.04.7
python2-minimal	2.7.17-2ubuntu4
python3.10	3.10.17-1+focal1
python3.10-distutils	3.10.17-1+focal1
python3.10-lib2to3	3.10.17-1+focal1
python3.10-minimal	3.10.17-1+focal1
python3.10-venv	3.10.17-1+focal1
python3	3.8.2-0ubuntu2
python3.5	3.5.2-2ubuntu0~16.04.13
python3.5-minimal	3.5.2-2ubuntu0~16.04.13
python3.5-venv	3.5.2-2ubuntu0~16.04.13
python3.6-minimal	3.6.9-1~18.04ubuntu1.12
python3.6-venv	3.6.9-1~18.04ubuntu1.12
python3.8	3.8.10-0ubuntu1~20.04.18
python3.8-dev	3.8.10-0ubuntu1~20.04.18
python3.8-minimal	3.8.10-0ubuntu1~20.04.18
python3.8-venv	3.8.10-0ubuntu1~20.04.18
python3-apport	2.20.11-0ubuntu27.30
python3-apt	2.0.1ubuntu0.20.04.1
python3-aptdaemon	1.1.1+bzr982-0ubuntu32.3
python3-aptdaemon.gtk3widgets	1.1.1+bzr982-0ubuntu32.3
python3-aptdaemon.pkcompat	1.1.1+bzr982-0ubuntu14.5
python3-asn1crypto	0.24.0-1build1
python3-astroid	2.3.3-1
python3-bcrypt	3.1.7-2ubuntu1
python3-blinker	1.4+dfsg1-0.3ubuntu1
python3-brlapi:amd64	6.0+dfsg-4ubuntu6
python3-cairo:amd64	1.16.2-2ubuntu2
python3-certifi	2019.11.28-1
python3-cffi	1.14.0-1build1
python3-cffi-backend	1.14.0-1build1
python3-chardet	3.0.4-4build1
python3-click	7.0-3
python3-colorama	0.4.3-1build1
python3-commandnotfound	20.04.6
python3-cryptography	2.8-3ubuntu0.3
python3-cups	1.9.73-3build1
python3-cupshelpers	1.5.12-0ubuntu1.1
python3-dateutil	2.7.3-3ubuntu1
python3-dbus	1.2.16-1build1
python3-debconf	1.5.73
python3-debian	0.1.36ubuntu1.1
python3-defer	1.0.6-2.1
python3-dev	3.8.2-0ubuntu2
python3-distro	1.4.0-1
python3-distro-info	0.23ubuntu1.1
python3-distupgrade	1:20.04.41
python3-distutils	3.8.10-0ubuntu1~20.04
python3-entrypoints	0.3-2ubuntu1
python3-fasteners	0.14.1-2
python3-future	0.18.2-2ubuntu0.1
python3-gdbm:amd64	3.8.10-0ubuntu1~20.04
python3-gi	3.36.0-1
python3-gi-cairo	3.36.0-1
python3-httplib2	0.14.0-1ubuntu1
python3-ibus-1.0	1.5.22-2ubuntu2.1
python3-idna	2.8-1ubuntu0.1
python3-isort	4.3.4+ds1-2
python3-jwt	1.7.1-2ubuntu2.1
python3-keyring	18.0.1-2ubuntu1
python3-launchpadlib	1.10.13-1
python3-lazr.restfulclient	0.14.2-2build1
python3-lazr.uri	1.0.3-4build1
python3-lazy-object-proxy	1.4.3-1build1
python3-ldb	2:2.4.4-0ubuntu0.20.04.2
python3-lib2to3	3.8.10-0ubuntu1~20.04
python3-libvirt	6.1.0-1
python3-libxml2:amd64	2.9.10+dfsg-5ubuntu0.20.04.10
python3-lockfile	1:0.12.2-2ubuntu2
python3-logilab-common	1.4.3-2
python3-louis	3.12.0-3ubuntu0.2
python3-macaroonbakery	1.3.1-1
python3-mako	1.1.0+ds1-1ubuntu2.1
python3-markupsafe	1.1.0-1build2
python3-mccabe	0.6.1-3
python3-minimal	3.8.2-0ubuntu2
python3-monotonic	1.5-0ubuntu2
python3-nacl	1.3.0-5
python3-netifaces	0.10.4-1ubuntu4
python3-oauthlib	3.1.0-1ubuntu2
python3-olefile	0.46-2
python3-openvswitch	2.13.8-0ubuntu1.4
python3-paramiko	2.6.0-2ubuntu0.3
python3-pexpect	4.6.0-1build1
python3-pil:amd64	7.0.0-4ubuntu0.9
python3-pip	20.0.2-5ubuntu1.11
python3-pkg-resources	45.2.0-1ubuntu0.3
python3-ply	3.11-3ubuntu0.1
python3-problem-report	2.20.11-0ubuntu27.30
python3-protobuf	3.6.1.3-2ubuntu5.2
python3-ptyprocess	0.6.0-1ubuntu1
python3-pyatspi	2.36.0-1
python3-pycodestyle	2.5.0-2
python3-pycparser	2.19-1ubuntu1
python3-pyflakes	2.1.1-2ubuntu1
python3-pymacaroons	0.13.0-3
python3-renderpm:amd64	3.5.34-1ubuntu1.1
python3-reportlab	3.5.34-1ubuntu1.1
python3-reportlab-accel:amd64	3.5.34-1ubuntu1.1
python3-requests	2.22.0-2ubuntu1.1
python3-requests-unixsocket	0.2.0-2
python3-rfc3339	1.1-2
python3-secretstorage	2.3.1-2ubuntu1
python3-setuptools	45.2.0-1ubuntu0.3
python3-simplejson	3.16.0-2ubuntu2
python3-six	1.14.0-2
python3-software-properties	0.99.9.12
python3-sortedcontainers	2.1.0-2
python3-speechd	0.9.1-4
python3-systemd	234-3build2
python3-talloc:amd64	2.3.3-0ubuntu0.20.04.1
python3-tk:amd64	3.8.10-0ubuntu1~20.04
python3-tz	2019.3-1ubuntu0.20.04.0
python3-uno	1:6.4.7-0ubuntu0.20.04.15
python3-update-manager	1:20.04.10.23
python3-urllib3	1.25.8-2ubuntu0.4
python3-venv	3.8.2-0ubuntu2
python3-wadllib	1.3.3-3build1
python3-wheel	0.34.2-1ubuntu0.1
python3-wrapt	1.11.2-2build1
python3-xdg	0.26-1ubuntu1
python3-xkit	0.5.0ubuntu4
python3-yaml	5.3.1-1ubuntu0.1
python3-zope.interface	4.7.1-1
python-apt-common	2.0.1ubuntu0.20.04.1
python-pip-whl	20.0.2-5ubuntu1.11
python-pkg-resources	44.0.0-2ubuntu0.1
python-pyflakes	2.1.1-2ubuntu1
python-tk	2.7.18-1
qemu-block-extra:amd64	1:4.2-3ubuntu6.30
qemu-efi-aarch64	0~20191122.bd85bf54-2ubuntu3.6
qemu-efi-arm	0~20191122.bd85bf54-2ubuntu3.6
qemu-guest-agent	1:4.2-3ubuntu6.30
qemu-kvm	1:4.2-3ubuntu6.30
qemu-slof	20191209+dfsg-1
qemu-system	1:4.2-3ubuntu6.30
qemu-system-arm	1:4.2-3ubuntu6.30
qemu-system-common	1:4.2-3ubuntu6.30
qemu-system-data	1:4.2-3ubuntu6.30
qemu-system-gui:amd64	1:4.2-3ubuntu6.30
qemu-system-mips	1:4.2-3ubuntu6.30
qemu-system-misc	1:4.2-3ubuntu6.30
qemu-system-ppc	1:4.2-3ubuntu6.30
qemu-system-s390x	1:4.2-3ubuntu6.30
qemu-system-sparc	1:4.2-3ubuntu6.30
qemu-system-x86	1:4.2-3ubuntu6.30
qemu-utils	1:4.2-3ubuntu6.30
qt5-gtk-platformtheme:amd64	5.12.8+dfsg-0ubuntu2.1
qtchooser	66-2build1
qttranslations5-l10n	5.12.8-0ubuntu1
rake	13.0.1-4
rasdaemon	0.6.5-1ubuntu1.2
readline-common	8.0-4
reiserfsprogs	1:3.6.27-3
remmina	1.4.25+dfsg-0ubuntu0.20.04.1
remmina-common	1.4.25+dfsg-0ubuntu0.20.04.1
remmina-plugin-rdp:amd64	1.4.25+dfsg-0ubuntu0.20.04.1
remmina-plugin-secret:amd64	1.4.25+dfsg-0ubuntu0.20.04.1
remmina-plugin-vnc:amd64	1.4.25+dfsg-0ubuntu0.20.04.1
resolvconf	1.82
rfkill	2.34-0.1ubuntu9.6
rhythmbox	3.4.4-1ubuntu2
rhythmbox-data	3.4.4-1ubuntu2
rpcbind	1.2.5-8
rsync	3.1.3-8ubuntu0.9
rsyslog	8.2001.0-1ubuntu1.3
rtkit	0.12-4
ruby	1:2.7+1
ruby2.7	2.7.0-5ubuntu1.18
rubygems-integration	1.16
ruby-json	2.3.0+dfsg-1build1
ruby-minitest	5.13.0-1
ruby-net-telnet	0.1.1-2
ruby-power-assert	1.1.7-1
ruby-test-unit	3.3.5-1
ruby-xmlrpc	0.3.0-2
rygel	0.38.3-1ubuntu1
samba-libs:amd64	2:4.15.13+dfsg-0ubuntu0.20.04.8
sane-utils	1.0.29-0ubuntu5.2
sbsigntool	0.9.2-2ubuntu1.1
scrub	2.6.1-1build2
seabios	1.13.0-1ubuntu1.1
seahorse	3.36-1
secureboot-db	1.5
sed	4.7-1
sensible-utils	0.0.12+nmu1
session-migration	0.3.5
session-shortcuts	1.4
sgml-base	1.29.1
sgml-data	2.0.11
shared-mime-info	1.15-1
sharutils	1:4.15.2-4build1
shim-signed	1.40.10+15.8-0ubuntu1
shotwell	0.30.10-0ubuntu0.1
shotwell-common	0.30.10-0ubuntu0.1
signond	8.59+17.10.20170606-0ubuntu1
simple-scan	3.36.3-0ubuntu0.20.04.0
sleuthkit	4.6.7-1build1
smartmontools	7.1-1build1
snapd	2.67.1+20.04
sni-qt:amd64	0.2.7+17.04.20170112-0ubuntu1
sntp	1:4.2.8p12+dfsg-3ubuntu4.20.04.1
socat	1.7.3.3-2
software-properties-common	0.99.9.12
software-properties-gtk	0.99.9.12
sound-icons	0.1-7
sound-theme-freedesktop	0.8-2ubuntu1
speech-dispatcher	0.9.1-4
speech-dispatcher-audio-plugins:amd64	0.9.1-4
speech-dispatcher-espeak-ng	0.9.1-4
spice-client-glib-usb-acl-helper	0.37-2fakesync1
spice-vdagent	0.19.0-2ubuntu0.2
sqlite3	3.31.1-4ubuntu0.7
squashfs-tools	1:4.4-1ubuntu0.3
ssh	1:8.2p1-4ubuntu0.13
ssh-askpass	1:1.2.4.1-10
ssh-import-id	5.10-0ubuntu1
ssl-cert	1.0.39
strace	5.5-3ubuntu1
stress-ng	0.11.07-1ubuntu2
sudo	1.8.31-1ubuntu1.5
supermin	5.1.20-2ubuntu1
suru-icon-theme	16.10+18.04.20181005-0ubuntu1
switcheroo-control	2.1-1
sysdig	0.40.1-rc2
syslinux	3:6.04~git20190206.bf6db5b4+dfsg1-2
syslinux-common	3:6.04~git20190206.bf6db5b4+dfsg1-2
syslinux-legacy	2:3.63+dfsg-2ubuntu9
sysstat	12.2.0-2ubuntu0.3
system-config-printer	1.5.12-0ubuntu1.1
system-config-printer-common	1.5.12-0ubuntu1.1
system-config-printer-udev	1.5.12-0ubuntu1.1
systemd	245.4-4ubuntu3.24
systemd-container	245.4-4ubuntu3.24
systemd-sysv	245.4-4ubuntu3.24
sysvinit-utils	2.96-2.1ubuntu1
sysv-rc	2.88dsf-59.3ubuntu2
tar	1.30+dfsg-7ubuntu0.20.04.4
tcl8.6	8.6.10+dfsg-1
tcl	8.6.9+1
tcl8.6-dev:amd64	8.6.10+dfsg-1
tcl-dev:amd64	8.6.9+1
tcpdump	4.9.3-4ubuntu0.3
telnet	0.17-41.2build1
thermald	1.9.1-1ubuntu0.7
thin-provisioning-tools	0.8.5-4build1
thunderbird	1:115.18.0+build1-0ubuntu0.20.04.1
thunderbird-gnome-support	1:115.18.0+build1-0ubuntu0.20.04.1
thunderbird-locale-en	1:115.18.0+build1-0ubuntu0.20.04.1
thunderbird-locale-en-us	1:115.18.0+build1-0ubuntu0.20.04.1
time	1.7-25.1build1
tk8.6	8.6.10-1
tk	8.6.9+1
tk8.6-blt2.5	2.5.3+dfsg-4
tk8.6-dev:amd64	8.6.10-1
tk-dev:amd64	8.6.9+1
tmux	3.0a-2ubuntu0.4
toshset	1.76-4
totem	3.34.1-2ubuntu2
totem-common	3.34.1-2ubuntu2
tpm-udev	0.4
traceroute	1:2.1.0-2
tracker	2.3.6-0ubuntu1
tracker-extract	2.3.3-2ubuntu0.20.04.2
tracker-miner-fs	2.3.3-2ubuntu0.20.04.2
transmission-common	2.94-2ubuntu3
transmission-gtk	2.94-2ubuntu3
tree	1.8.0-1
ttf-ancient-fonts-symbola	2.60-1
ttf-ubuntu-font-family	1:0.83-4ubuntu1
tzdata	2025b-0ubuntu0.20.04.1
ubuntu-advantage-desktop-daemon	1.10.ubuntu0.20.04.1
ubuntu-advantage-tools	35.1ubuntu0~20.04
ubuntu-artwork	1:19.04-0ubuntu3
ubuntu-core-launcher	2.58+18.04.1
ubuntu-desktop	1.450.2
ubuntu-desktop-minimal	1.450.2
ubuntu-docs	20.04.3
ubuntu-drivers-common	1:0.9.0~0.20.04.8
ubuntu-keyring	2020.02.11.4
ubuntu-minimal	1.450.2
ubuntu-mobile-icons	16.10+18.04.20181005-0ubuntu1
ubuntu-mono	19.04-0ubuntu3
ubuntu-pro-client	35.1ubuntu0~20.04
ubuntu-pro-client-l10n	35.1ubuntu0~20.04
ubuntu-release-upgrader-core	1:20.04.41
ubuntu-release-upgrader-gtk	1:20.04.41
ubuntu-report	1.6.1ubuntu0.1
ubuntu-session	3.36.0-2ubuntu1
ubuntu-settings	20.04.6
ubuntu-sounds	0.14
ubuntu-standard	1.450.2
ubuntu-touch-sounds	15.08
ubuntu-wallpapers	20.04.2-0ubuntu1
ubuntu-wallpapers-bionic	20.04.2-0ubuntu1
ubuntu-wallpapers-focal	20.04.2-0ubuntu1
ucf	3.0038+nmu1
udev	245.4-4ubuntu3.24
udisks2	2.8.4-1ubuntu2
ufw	0.36-6ubuntu1.1
unattended-upgrades	2.3ubuntu0.3
unity-accessibility-profiles	0.1.11-0ubuntu4
unity-asset-pool	0.8.24+17.10.20170507-0ubuntu1
unity-greeter	18.04.0+20.04.20200312-0ubuntu2
unity-gtk2-module:amd64	0.0.0+18.04.20171202-0ubuntu2
unity-gtk3-module:amd64	0.0.0+18.04.20171202-0ubuntu2
unity-gtk-module-common	0.0.0+18.04.20171202-0ubuntu2
unity-lens-applications	7.1.0+16.10.20160927-0ubuntu5
unity-lens-music	6.9.1+16.04-0ubuntu3
unity-schemas	7.5.1+20.04.20211026.1-0ubuntu1
unity-scope-home	6.8.2+19.04.20190412-0ubuntu2
unity-scopes-master-default	6.8.2+19.04.20190412-0ubuntu2
unity-services	7.5.1+20.04.20211026.1-0ubuntu1
unity-settings-daemon	15.04.1+20.04.20200325-0ubuntu1
unity-settings-daemon-schemas	15.04.1+20.04.20200325-0ubuntu1
unity-webapps-common	2.4.17+15.10.20150616-0ubuntu2
unity-webapps-service	2.5.0~+16.04.20160201-0ubuntu1
uno-libs-private	1:6.4.7-0ubuntu0.20.04.15
unzip	6.0-25ubuntu1.2
update-inetd	4.50
update-manager	1:20.04.10.23
update-manager-core	1:20.04.10.23
update-notifier	3.192.30.19
update-notifier-common	3.192.30.19
upower	0.99.11-1build2
upstart	1.13.2-0ubuntu21.1
ure	1:6.4.7-0ubuntu0.20.04.15
ureadahead	0.100.0-21
usb-creator-common	0.3.7
usb-creator-gtk	0.3.7
usb.ids	2020.03.19-1
usb-modeswitch	2.5.2+repack0-2ubuntu3
usb-modeswitch-data	20191128-3
usbmuxd	1.1.1~git20191130.9af2b12-1
usbutils	1:012-2
util-linux	2.34-0.1ubuntu9.6
uuid-dev:amd64	2.34-0.1ubuntu9.6
uuid-runtime	2.34-0.1ubuntu9.6
va-driver-all:amd64	2.7.0-2
vim-common	2:8.1.2269-1ubuntu5.32
vim-tiny	2:8.1.2269-1ubuntu5.32
vino	3.22.0-5ubuntu2.2
virtinst	1:2.2.1-3ubuntu2.2
virt-manager	1:2.2.1-3ubuntu2.2
virt-viewer	7.0-2build1
wamerican	2018.04.16-1
wbritish	2018.04.16-1
webbrowser-app	0.23+16.04.20161028-0ubuntu2
wget	1.20.3-1ubuntu2.1
whiptail	0.52.21-4ubuntu2
whoopsie	0.2.69ubuntu0.3
whoopsie-preferences	22
wireless-regdb	2024.07.04-0ubuntu1~20.04.1
wireless-tools	30~pre9-13ubuntu1
wpasupplicant	2:2.9-1ubuntu4.6
x11-apps	7.7+8
x11-common	1:7.7+19ubuntu14
x11proto-core-dev	2019.2-1ubuntu1
x11proto-dev	2019.2-1ubuntu1
x11proto-render-dev	2:2019.2-1ubuntu1
x11proto-scrnsaver-dev	2019.2-1ubuntu1
x11proto-xext-dev	2019.2-1ubuntu1
x11-session-utils	7.7+4
x11-utils	7.7+5
x11-xkb-utils	7.7+5
x11-xserver-utils	7.7+8
xauth	1:1.1-0ubuntu1
xbitmaps	1.1.1-2
xbrlapi	6.0+dfsg-4ubuntu6
xcursor-themes	1.0.6-0ubuntu1
xdg-dbus-proxy	0.1.2-1
xdg-desktop-portal	1.6.0-1ubuntu2
xdg-desktop-portal-gtk	1.6.0-1ubuntu1
xdg-user-dirs	0.17-2ubuntu1
xdg-user-dirs-gtk	0.10-3
xdg-utils	1.1.3-2ubuntu1.20.04.2
xfonts-base	1:1.0.5
xfonts-encodings	1:1.0.5-0ubuntu1
xfonts-scalable	1:1.0.3-1.1
xfonts-utils	1:7.7+6
xfsprogs	5.3.0-1ubuntu2.1
xinit	1.4.1-0ubuntu2
xinput	1.6.3-1
xkb-data	2.29-2
xml-core	0.18+nmu1
xorg	1:7.7+19ubuntu14
xorg-docs-core	1:1.7.1-1.1
xorg-sgml-doctools	1:1.11-1
xorgxrdp	1:0.2.12-1
xrdp	0.9.12-1ubuntu0.1
xserver-common	2:1.20.13-1ubuntu1~20.04.20
xserver-xephyr	2:1.20.13-1ubuntu1~20.04.20
xserver-xorg	1:7.7+19ubuntu14
xserver-xorg-core	2:1.20.13-1ubuntu1~20.04.20
xserver-xorg-input-all	1:7.7+19ubuntu14
xserver-xorg-input-evdev	1:2.10.6-1
xserver-xorg-input-libinput	0.29.0-1
xserver-xorg-input-synaptics	1.9.1-1ubuntu3
xserver-xorg-input-wacom	1:0.39.0-0ubuntu1
xserver-xorg-legacy	2:1.20.13-1ubuntu1~20.04.20
xserver-xorg-video-all	1:7.7+19ubuntu14
xserver-xorg-video-amdgpu	19.1.0-1ubuntu0.1
xserver-xorg-video-ati	1:19.1.0-1
xserver-xorg-video-fbdev	1:0.5.0-1ubuntu1
xserver-xorg-video-intel	2:2.99.917+git20200226-1
xserver-xorg-video-nouveau	1:1.0.16-1
xserver-xorg-video-qxl	0.1.5+git20200331-1
xserver-xorg-video-radeon	1:19.1.0-1
xserver-xorg-video-vesa	1:2.4.0-2
xserver-xorg-video-vmware	1:13.3.0-3
xterm	353-1ubuntu1.20.04.2
xtrans-dev	1.4.0-1
xul-ext-ubufox	3.4-0ubuntu1.17.10.1
xwayland	2:1.20.13-1ubuntu1~20.04.20
xxd	2:8.1.2269-1ubuntu5.32
xz-utils	5.2.4-1ubuntu1.1
yaru-theme-gnome-shell	20.04.11.1
yaru-theme-gtk	20.04.11.1
yaru-theme-icon	20.04.11.1
yaru-theme-sound	20.04.11.1
yelp	3.36.2-0ubuntu1.1
yelp-xsl	3.36.0-1ubuntu0.1
zeitgeist-core	1.0.2-3ubuntu2
zeitgeist-datahub	1.0.2-3ubuntu2
zenity	3.32.0-5
zenity-common	3.32.0-5
zerofree	1.1.1-1
zip	3.0-11build1
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu1.5
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu1.5
